clip_id,category,subcategory,prompt,palette,duration,resolution,gen_date,filename,rating
trade-charts-candleglow-001,trading,charts,"Slow cinematic dolly-in over a glowing financial candlestick chart, green and red candles rising, dark moody background, shallow depth of field, subtle camera drift, premium finance aesthetic, volumetric light. No text, no logo, no numbers, no watermark, no faces.",dark,15s,720p,2026-08-01,trade-charts-candleglow-001-15s-720p-169.mp4,
trade-candlebull-001,trading,charts,"Slow cinematic dolly-in over a glowing green and red candlestick chart rising against deep black, volumetric golden god rays cutting through atmospheric haze, shallow depth of field, subtle drifting camera, premium finance color grade teal and gold. No text, no logo, no watermark, no numbers, no faces, no brand.",dark-gold,15s,720p,2026-08-01,trade-candlebull-001-15s-720p-169.mp4,16IijgVKlKzu0_otd5Ffr6Zz1YzFWYibc,
cine-candlestorm-001,trading,abstract,"Photorealistic cinematic macro of a dark void where towering green and red candlestick forms grow and topple like a glass forest, volumetric golden god-rays cutting through atmospheric haze and drifting embers, shallow depth of field, heavy natural film grain, premium cinematic look. 0-5s: candles rise rapidly, wax drips in slow motion, the red ones crack and shed glowing embers. 5-10s: a collapse wave rolls through, molten wax and embers erupt upward and freeze at the peak. 10-15s: a slow elegant orbit glides through the frozen storm, then everything rewinds smoothly and resets. Technical specs: ultra-detailed fluid physics, motion blur only on moving elements, stable composition, cinematic lighting, no text, no logo, no watermark, no faces, no brand.",dark-gold,15s,720p,2026-08-02,cine-candlestorm-001-15s-720p-169.mp4,1CJ7z25b_Rioe6JZR3oAr_Hm5ZAJrcXgk
cine-coinrain-003,trading,money,"Photorealistic cinematic macro of glossy gold coins falling like rain onto a flawless black mirror surface, each impact creating perfect concentric ripples, warm golden rim lighting, atmospheric dust particles, shallow depth of field, heavy natural film grain, luxury premium grade. 0-5s: coins tumble downward in slow motion, spinning and catching golden light. 5-10s: first impacts, ripples spread, golden reflections scatter across the mirror. 10-15s: low-angle drift across the mirror as coins continue to settle and the surface settles. Technical specs: ultra-detailed fluid ripples, reflective surfaces, motion blur only on moving coins, no text, no logo, no watermark, no faces, no brand.",dark-gold,15s,720p,2026-08-02,cine-coinrain-003-15s-720p-169.mp4,1oCrXRmlbHQQpaSEfwa2qBfVlA3w3JeuX
meigen-goldbar-hero-001,trading,product-hero,"A single polished gold bar, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 16:9. Camera slowly orbits as the spotlight catches the polished surface. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-03,meigen-goldbar-hero-001-8s-1080p-169.mp4,,
meigen-goldtrophy-004,trading,product-hero,"Luxury financial trophy product photography in a dark cinematic studio. A premium black matte pedestal with subtle gold accents holds a polished gold bar with a thick reflective surface and sharp clean edges. Soft low-key lighting, smooth gradient dark background, gentle reflections beneath the object, dramatic shadows for depth. High-fashion advertisement style, ultra realistic textures, crisp focus, shallow depth of field, 8k, 16:9. Slow cinematic dolly-in. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-03,meigen-goldtrophy-004-8s-1080p-169.mp4,,
meigen-glowsphere-005,trading,product-hero,"A glowing translucent sphere, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 16:9. Slow orbit as faint golden light trails pulse across the sphere's surface. No text, no logo, no faces, no brand, no country labels.",teal-gold,8s,1080p,2026-08-03,meigen-glowsphere-005-8s-1080p-169.mp4,,
meigen-goldbar-fastorbit-006,trading,product-hero,"A single polished gold bar, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-speed camera orbit circling the bar as the spotlight flares across the polished surface. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-03,meigen-goldbar-fastorbit-006-8s-1080p-916.mp4,,
meigen-goldingot-snappush-007,trading,product-hero,"A stack of three polished gold ingots, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid snap push-in from wide to extreme close-up, light flaring across the edges. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-04,meigen-goldingot-snappush-007-8s-1080p-916.mp4,,
meigen-trophy-rapiddolly-008,trading,product-hero,"A sleek matte-black trophy with gold accents on a dark pedestal, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast dolly-in with a quick low-angle rise, dramatic light sweep across the trophy. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-04,meigen-trophy-rapiddolly-008-8s-1080p-916.mp4,,
meigen-glowsphere-whiporbit-009,trading,product-hero,"A glowing translucent sphere, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-pan orbit around the sphere as golden light trails streak across its surface. No text, no logo, no faces, no brand, no country labels.",teal-gold,8s,1080p,2026-08-04,meigen-glowsphere-whiporbit-009-8s-1080p-916.mp4,,
meigen-hourglass-fastdolly-010,trading,product-hero,"An antique brass hourglass with fine golden sand, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid dolly-in as sand streams catch the light, camera snapping to a low hero angle. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-04,meigen-hourglass-fastdolly-010-8s-1080p-916.mp4,,
meigen-scale-quickorbit-011,trading,product-hero,"A brass balance scale in perfect equilibrium, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast circling camera orbit, light flaring off the polished brass arms. No text, no logo, no faces, no brand.",dark-gold,8s,1080p,2026-08-04,meigen-scale-quickorbit-011-8s-1080p-916.mp4,,
meigen-compass-snaprotate-012,trading,product-hero,"An antique brass compass with a glowing needle, luxury product hero shot, polished black marble background, single spotlight top down with a cool blue-violet rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast snap-rotate camera move around the compass as the needle catches light. No text, no logo, no faces, no brand.",blue-violet,8s,1080p,2026-08-04,meigen-compass-snaprotate-012-8s-1080p-916.mp4,,
meigen-chessking-fastarc-014,trading,product-hero,"A single matte-black chess king piece with gold trim, luxury product hero shot, glossy obsidian slab background, single spotlight top down with a rich emerald rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, wide low-angle detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast arcing camera sweep low to high around the piece, dramatic light flare. No text, no logo, no faces, no brand.",emerald-gold,8s,1080p,2026-08-04,meigen-chessking-fastarc-014-8s-1080p-916.mp4,,
meigen-trader-confidentlean-036,trading,narrative-people,"Cinematic photorealistic scene: a confident trader in a tailored dark suit sits at a sleek glass desk, multiple monitors glowing softly behind him showing abstract market data, city skyline through a window at dusk, warm amber key light with cool blue rim, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast dolly-in as he leans back with a satisfied half-smile. No readable screen text, no logos, no brand, face partially in shadow.",amber-blue,8s,1080p,2026-08-04,meigen-trader-confidentlean-036-8s-1080p-916.mp4,,
meigen-silverbar-fastorbit-056,trading,product-hero,"A single polished silver bar, luxury product hero shot, dark velvet background, single spotlight top down with cool platinum-white light, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-speed camera orbit circling the bar as the spotlight flares across the polished surface. No text, no logo, no faces, no brand.",platinum-silver,8s,1080p,2026-08-04,meigen-silverbar-fastorbit-056-8s-1080p-916.mp4,,
meigen-key-quickpush-015,trading,product-hero,"An ornate brass skeleton key, luxury product hero shot, dark silk fabric background, single spotlight top down with a warm rose-gold glow",rose-gold-dark,8s,1080p,2026-08-04,meigen-key-quickpush-015-8s-1080p-916.mp4,,
meigen-trader-earlymorning-037,trading,narrative-people,"Cinematic photorealistic scene: a focused trader in a crisp white shirt stands before a curved wall of glowing charts in a dim office at dawn, coffee cup in hand, soft golden sunrise light spilling through blinds, cinematic shadows, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast low-angle push-in as he takes a slow sip, steam catching the light. No readable screen text, no logos, no brand, face partially in shadow.",gold-amber,8s,1080p,2026-08-04,meigen-trader-earlymorning-037-8s-1080p-916.mp4,,
meigen-silvercoin-edgespin-057,trading,product-hero,"A single glossy silver coin standing on its edge, luxury product hero shot, polished black marble background, single spotlight top down with cool blue-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast spin as the coin catches the light. No text, no logo, no faces, no brand.",silver-blue,8s,1080p,2026-08-04,meigen-silvercoin-edgespin-057-8s-1080p-916.mp4,,
meigen-diamond-fastspin-016,trading,product-hero,"A single faceted diamond suspended in light, luxury product hero shot, smoked glass background, single spotlight top down with cool platinum-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast spinning orbit as light refracts and flares off each facet. No text, no logo, no faces, no brand.",platinum,8s,1080p,2026-08-04,meigen-diamond-fastspin-016-8s-1080p-916.mp4,,
