clip_id,category,subcategory,prompt,palette,duration
blackliquidity-scam1-appglow-301,black_liquidity,scam-broll,"Extreme close-up of a phone screen showing an abstract trading app dashboard with a huge glowing green percentage number pulsing rapidly upward, dark room, neon red ambient glow reflecting off the screen edges, realistic 4K, dark moody cinematic, high contrast. Fast push-in as the number climbs. No readable text, no logo, no faces, no brand.",dark-neonred-green,8s
blackliquidity-scam1-emptyoffice-302,black_liquidity,scam-broll,"Wide shot of an empty slick corporate office at night, rows of identical empty desks and monitors glowing faintly, neon red accent lighting along the ceiling, dramatic depth, realistic 4K, dark moody cinematic, high contrast. Slow low dolly forward through the empty rows. No text overlay, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam1-contractsign-303,black_liquidity,scam-broll,"Extreme close-up of a hand signing a glossy dark contract on a desk, a red wax-seal-style stamp glowing as it presses down, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Fast push-in as the stamp lands. No readable text, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam1-transferscreen-304,black_liquidity,scam-broll,"Macro shot of a bank transfer confirmation screen, abstract numbers ticking upward rapidly in red and green, dark background, neon red rim lighting on the phone edges, realistic 4K, dark moody cinematic, high contrast. Fast push-in as the numbers accelerate. No readable text, no logo, no faces, no brand.",dark-neonred-green,8s
blackliquidity-scam1-countdown-305,black_liquidity,scam-broll,"Close-up of an abstract countdown timer graphic glowing red on a dark phone screen, digits ticking down, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow creeping push-in as the timer nears zero. No readable text, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam1-lockedicon-306,black_liquidity,scam-broll,"Extreme close-up of a glowing red padlock icon hovering over a dark phone screen, a hand's fingertip tapping uselessly against it, thin haze, realistic 4K, dark moody cinematic, high contrast. Fast push-in as the padlock pulses red. No readable text, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam1-cashenvelope-307,black_liquidity,scam-broll,"Extreme close-up of a thick stack of cash sliding into a dark envelope on a desk, neon red rim lighting catching the edges of the bills, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Fast push-in as the envelope closes. No readable text, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam1-officeclearout-308,black_liquidity,scam-broll,"Wide shot of a dark office being cleared out at night, empty chairs and stacked moving boxes, a single red emergency exit sign glowing at the far end, dramatic depth, realistic 4K, dark moody cinematic, high contrast. Slow lateral tracking shot across the emptied room. No text overlay, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam1-policetape-309,black_liquidity,scam-broll,"Close-up of yellow warning tape swaying gently across a dark doorway at night, red and blue light flickering faintly across the frame, thin haze, realistic 4K, dark moody cinematic, high contrast. Slow push-in as the tape sways. No readable text, no logo, no faces, no brand.",dark-neonred-blue,8s
blackliquidity-scam1-deadmonitor-310,black_liquidity,scam-broll,"Wide shot of a single empty desk with a dead black monitor, dust particles floating through a narrow shaft of red light, dramatic shadows, realistic 4K, dark moody cinematic, high contrast. Slow static hold with a subtle push-in. No text overlay, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam2-housekeys-311,black_liquidity,scam-broll,"Extreme close-up of house-shaped keys resting on a stack of official-looking dark document folders on a desk, neon red rim lighting, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow macro push-in on the keys. No readable text, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam2-mortgagesign-312,black_liquidity,scam-broll,"Extreme close-up of a pen signing a dark mortgage-style document, a red ink stamp appearing beside the signature, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Fast push-in as the stamp presses down. No readable text, no logo, no faces, no brand.",dark-neonred,8s
blackliquidity-scam2-suburbanhouse-313,black_liquidity,scam-broll,"Wide shot of a modest suburban house at dusk, warm window light glowing inside, an ominous deep red sky behind the roofline, cinematic depth, realistic 4K, dark moody high contrast. Slow low dolly forward toward the house. No text overlay, no logo, no faces, no brand.",red-warm,8s
