clip_id,category,subcategory,prompt,palette,duration
trade-candlebull-001,trading,charts,"Slow cinematic dolly-in over a glowing green and red candlestick chart rising against deep black, volumetric golden god rays cutting through atmospheric haze, shallow depth of field, subtle drifting camera, premium finance color grade teal and gold. No text, no logo, no watermark, no numbers, no faces, no brand.",dark-gold,15s
trade-coinfall-002,trading,money,"Slow motion macro of glossy golden coins falling and stacking on a black reflective surface, dramatic rim lighting, cinematic chiaroscuro, soft golden bokeh, shallow depth of field, slow top-down drift. No text, no logo, no watermark, no faces, no brand.",dark-gold,15s
trade-goldbars-003,trading,wealth,"Cinematic close-up of stacked gold bars on polished black, warm golden volumetric light beams, atmospheric dust particles drifting, slow parallax pan, luxury premium grade. No text, no logo, no watermark, no faces, no brand.",dark-gold,15s
trade-tickertape-004,trading,markets,"Abstract cinematic shot of glowing ticker tape streaming downward through darkness, teal and amber light streaks, motion blur, slow push-in, moody atmospheric haze. No readable text, no logo, no faces, no brand.",dark-teal,15s
trade-dataswarm-005,trading,data,"Cinematic abstract of luminous data particles swirling and converging into a rising waveform in a dark void, volumetric god rays, golden and teal glow, slow orbit camera, premium tech-finance aesthetic. No text, no logo, no faces, no brand.",dark-teal,15s
trade-bullstatue-006,trading,symbol,"Dramatic low-angle cinematic shot of a metallic golden bull statue emerging from darkness, warm rim light, volumetric haze, slow crane-up reveal, luxury finance mood, teal and gold grade. No text, no logo, no faces, no brand.",dark-gold,15s
trade-monitorglow-007,trading,workspace,"Cinematic dark room with multiple monitors glowing green and amber, silhouette of an empty trading desk, atmospheric haze and lens flares, slow dolly across, moody low-key, shallow depth of field. No readable screens, no logo, no faces visible, no brand.",dark-teal,15s
trade-profitline-008,trading,charts,"Cinematic macro of a glowing golden line drawing itself upward across darkness like a profit graph, spark particles trailing, volumetric light, slow push-in, premium teal and gold grade. No text, no numbers, no logo, no faces, no brand.",dark-gold,15s
trade-hourglass-009,trading,concept,"Cinematic close-up of an ornate hourglass with luminous golden sand falling in slow motion against black, warm god rays, shallow depth of field, slow drift, premium luxury mood. No text, no logo, no faces, no brand.",dark-gold,15s
trade-liquidgold-010,trading,abstract,"Cinematic macro of liquid gold flowing and rippling in slow motion over a reflective black surface, dramatic warm lighting, golden bokeh, slow orbit, luxury premium aesthetic. No text, no logo, no faces, no brand.",dark-gold,15s
trade-forexglobe-011,trading,forex,"Cinematic abstract of a dark translucent globe with golden latitude lines and flowing currency light trails, volumetric haze, slow rotating drift, teal and gold premium grade. No text, no country labels, no logo, no faces, no brand.",dark-teal,15s
trade-chartcrash-012,trading,markets,"Cinematic shot of red glowing candlesticks descending through darkness with embers and drifting smoke, moody low-key, dramatic chiaroscuro, slow push-in, atmospheric haze. No text, no logo, no faces, no brand.",dark-red,15s
trade-ledgermacro-013,trading,abstract,"Cinematic extreme macro panning across a dark reflective surface with faint golden etched patterns catching light, shallow depth of field, volumetric golden beams, slow drift, premium finance mood. No readable text, no logo, no faces, no brand.",dark-gold,15s
trade-diamondfloat-014,trading,wealth,"Cinematic shot of a glowing crystal diamond floating in a dark void with golden light refracting into prismatic sparks, slow rotation, volumetric god rays, luxury premium grade. No text, no logo, no faces, no brand.",dark-gold,15s
trade-marketpulse-015,trading,abstract,"Cinematic abstract of a pulsing ring of golden light expanding outward through dark mist like a market heartbeat, volumetric rays, drifting particles, slow zoom, teal and gold premium grade. No text, no logo, no faces, no brand.",dark-teal,15s
