clip_id,category,subcategory,prompt,palette,duration
meigen-ref-pen-chartink-101,trading,macro-texture,"A colossal hand gripping an enormous vintage fountain pen, vertical portrait framing, writing on endless textured paper that fills the frame. Where the ink flows, tiny glowing golden candlestick chart lines and ascending curves burst to life on the page, each no larger than a fingernail, ultra-miniature scale, cascading downward as the pen moves. Extreme close-up of the pen nib touching paper, ink bleeding into fiber, fingertip skin texture visible. Warm amber and soft golden light raking across the paper surface, deep shadows, cinematic depth of field, hyper-detailed, photorealistic, 8k, 9:16 vertical. Fast push-in as the pen glides, ink-trail chart lines rippling to life. No text, no logo, no faces, no brand.",amber-gold,8s
meigen-ref-fintechcard-floating-102,trading,abstract-motion,"A sleek frosted glass card with glowing neon-purple edges hovers dynamically in a zero-gravity composition, small clay-style gold coins, semi-transparent geometric spheres, and a glowing green upward arrow orbiting smoothly around it. Soft Octane-style rendering, pastel gradient background blending soft lilac and mint green, high-saturation premium color palette, ultra-smooth matte and glossy texture contrast, 8k, 9:16 vertical. Fast orbiting camera circles the floating card as the coins and arrow drift past. No text, no logo, no faces, no brand.",lilac-mint,8s
meigen-ref-cityscape-chartboard-103,trading,wide-establishing,"Ultra-realistic cinematic night cityscape, wide-angle street-level view of a busy financial-district intersection at night, wet asphalt reflecting neon light. A massive curved LED billboard on a corner building displays a glowing abstract ascending chart animation, dominating the scene with vivid light. Surrounding skyscrapers covered in bright digital screens and colorful ambient glow, motion-blurred traffic light trails from passing cars, dramatic contrast between dark sky and illuminated buildings, long-exposure photography look, sharp architectural detail, 8k, 9:16 vertical. Fast low sweeping dolly through the intersection as light trails streak past. No text, no logo, no faces, no brand, no readable signage.",neon-blue,8s
meigen-ref-rainwindow-citylights-104,trading,atmosphere,"A rain-streaked window in the foreground, soft warm interior lamp glow blurred in the near frame, beyond the glass a city skyline glows with bokeh light at night, raindrops trailing slowly down the pane catching the light. Cinematic shallow depth of field, moody atmosphere, cool blue-violet exterior tones against warm interior amber, 35mm film grain, 8k, 9:16 vertical. Fast slow-motion push-in through the rain-streaked glass toward the glowing skyline. No text, no logo, no faces, no brand, no visible people.",blue-violet-amber,8s
meigen-ref-datacurve-orbit-105,trading,abstract-motion,"An abstract glowing translucent sculpture of an ascending growth curve floating in a dark void, fine particle trails drifting off its surface, faint golden and teal light pulsing along the curve's length, dramatic rim lighting, thin volumetric haze, premium editorial styling, ultra-detailed render, 8k, 9:16 vertical. Fast rotating orbit around the sculpture as particle trails streak past the camera. Abstract concept object, no real chart data, no numbers. No text, no logo, no faces, no brand.",gold-teal,8s
meigen-ref-bridgesilhouette-sunset-106,trading,atmosphere,"A cinematic silhouette shot of a lone figure leaning against a rooftop railing at sunset, looking out over a financial-district skyline. The background features the hazy, dreamlike silhouette of skyscraper towers and birds flying over the city. Warm orange and deep blue color palette, atmospheric haze, emotional storytelling, shot on an 85mm f/1.4 lens look at f/1.8, award-winning travel-photography style, 8k, 9:16 vertical. Fast slow rise of the camera from the railing up to the glowing skyline. No text, no logo, no visible face, no brand.",orange-deepblue,8s
meigen-ref-glasscube-caustics-107,trading,product-hero,"A single polished gold bar inside a transparent glass cube enclosure, futuristic high-end ad style, caustic light patterns rippling across its surface, minimal composition, cool studio lighting, subtle fog, sharp reflections, ultra-realistic, macro product photography, 100mm lens look, f/8, 8k, 9:16 vertical. Fast slow rotation of the cube as caustic light ripples shift across the gold surface. No text, no logo, no faces, no brand.",cool-gold,8s
meigen-ref-glassplanet-caustics-108,trading,abstract-motion,"A perfectly spherical orb made entirely of transparent liquid glass, floating in a dark void above a black reflective surface. Inside the sphere, swirling golden light trails and abstract ascending curve lines are suspended as if frozen in time. The outer shell is perfectly smooth with flawless glass refraction, chromatic aberration, and realistic optical distortion, brilliant highlights and colorful caustics across the surface, wisps of blue and violet fog surrounding the orb. Ultra-photorealistic, physically accurate lighting, ray-traced reflections, volumetric lighting, cinematic composition, 8k, 9:16 vertical. Fast orbiting camera circles the glass orb as caustics shift and ripple. Abstract concept object, no real chart data, no numbers. No text, no logo, no faces, no brand.",blue-violet-gold,8s
meigen-ref-crystalmonolith-glow-109,trading,abstract-motion,"Floating crystalline monoliths shaped like ascending bar-chart columns, suspended in a dark quantum void, illuminated from within by concentrated golden plasma cores and subtle teal light leaks, soft fog scattering, futuristic architectural abstraction, premium cyber-luxury aesthetic, layered depth, glowing edges, translucent nano-glass material, cinematic sci-fi ambiance, minimal composition, ultra-clean background, realistic global illumination, ray-traced reflections, high-end 3D visualization, isolated abstract technology concept, 8k, 9:16 vertical. Fast rising camera move tracing the ascending monoliths as their glow pulses. Abstract sculpture, no real chart data, no numbers. No text, no logo, no faces, no brand.",gold-teal,8s
meigen-ref-smokeribbon-ascend-110,trading,macro-texture,"An abstract ascending curve formed entirely from graceful flowing golden smoke ribbons, ethereal movement, delicate transparency, dramatic dark background, elegant cinematic tones, minimalist fine art aesthetic, ultra-detailed render, dramatic rim lighting, thin volumetric haze, premium editorial styling, 8k, 9:16 vertical. Fast push-in as the smoke ribbons swirl upward into shape. Abstract concept, no real chart data, no numbers. No text, no logo, no faces, no brand.",gold-black,8s
