clip_id,category,subcategory,visual,audio_sfx,palette,duration
blackliquidity-scam4-emptyhotelballroom-331,black_liquidity,scam-broll,"Wide shot of an empty hotel ballroom set up for a seminar, rows of vacant chairs facing a bare stage, a dim chandelier glowing overhead, cinematic depth, realistic 4K, dark moody high contrast. Slow wide dolly forward down the center aisle. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint electrical hum of the dimmed chandelier, a distant echo characteristic of a large empty ballroom, a soft creak of one chair settling, quiet ambient HVAC drone.",dark-neonred,8s
blackliquidity-scam4-hallwayexit-332,black_liquidity,scam-broll,"Wide shot down a long hotel hallway at night, doors closed on both sides, a red exit sign glowing at the far end, realistic 4K, dark moody cinematic, high contrast. Slow steady push down the hallway toward the exit sign. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low hum of hallway lighting, a faint distant echo of a closing door somewhere unseen, quiet ambient building tone, the soft buzz of the exit sign.",dark-neonred,8s
blackliquidity-scam4-emptylobby-333,black_liquidity,scam-broll,"Wide shot of a dim hotel lobby at night, a single unmanned reception desk, soft ambient light pooling on polished floor, cinematic depth, realistic 4K, dark moody high contrast. Slow wide push-in toward the empty desk. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Quiet ambient room tone with a hollow lobby echo, the faint hum of a nearby refrigeration unit, a distant muffled elevator chime, soft footsteps fading away off-frame.",dark-neonred,8s
blackliquidity-scam4-parkinglotnight-334,black_liquidity,scam-broll,"Wide shot of an empty parking lot at night, faded painted lines, a single flickering lamp post casting a cone of light, realistic 4K, dark moody cinematic, high contrast. Slow low wide dolly across the empty lot. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The intermittent electrical buzz and flicker-crackle of the failing lamp, distant wind moving across open pavement, a faint far-off car engine passing, quiet night ambience.",dark-neonred,8s
blackliquidity-scam4-stagebackdrop-335,black_liquidity,scam-broll,"Wide shot of a bare stage backdrop after an event, a single spotlight beam cutting through thin haze onto an empty podium, dramatic depth, realistic 4K, dark moody cinematic, high contrast. Slow wide dolly forward toward the podium. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low electrical hum of the spotlight fixture, a faint metallic creak of the podium's stand, distant echo of the empty auditorium, soft hiss of lingering haze.",dark-neonred,8s
blackliquidity-scam4-emptybanquet-336,black_liquidity,scam-broll,"Wide shot of a banquet hall after an event, folding chairs stacked haphazardly against the far wall, dim overhead lighting, cinematic depth, realistic 4K, dark moody high contrast. Slow lateral wide tracking shot across the empty hall. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. A faint metallic creak of the stacked folding chairs settling, distant echo characteristic of a large empty room, quiet ambient building hum, a soft scrape of a chair leg against tile somewhere off-frame.",dark-neonred,8s
blackliquidity-scam4-escalatorhall-337,black_liquidity,scam-broll,"Wide shot of an empty mall atrium at closing time, a still escalator glowing faintly, storefronts dark on either side, realistic 4K, dark moody cinematic, high contrast. Slow wide push forward toward the escalator. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low mechanical hum of the idling escalator motor, distant echo through the empty atrium, faint buzz of overhead fluorescent lights, quiet ambient mall tone.",dark-neonred,8s
blackliquidity-scam4-conferencecorridor-338,black_liquidity,scam-broll,"Wide shot of a conference center corridor, closed meeting-room doors lining both sides, dim emergency lighting, realistic 4K, dark moody cinematic, high contrast. Slow steady wide dolly down the corridor. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint hum of emergency lighting fixtures, a distant muffled HVAC rumble, quiet ambient building tone, an occasional faint creak of a door settling in its frame.",dark-neonred,8s
blackliquidity-scam4-emptyamphitheater-339,black_liquidity,scam-broll,"Wide shot of an outdoor amphitheater at dusk, empty tiered seating facing a bare stage, deep red sky behind, cinematic depth, realistic 4K, dark moody high contrast. Slow wide dolly forward down the center steps. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Low wind moving across the open tiered seating, distant birds calling as dusk settles, a faint metallic tick of a cooling PA speaker stand, quiet open-air ambience.",red-dusk,8s
blackliquidity-scam4-elevatorlobby-340,black_liquidity,scam-broll,"Wide shot of a hotel elevator lobby, dim ambient light, elevator doors closing slowly at the far end, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in as the doors close. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The mechanical whir and soft thud of the elevator doors sliding shut, a faint electronic chime cutting off, quiet ambient lobby tone, distant muffled building hum.",dark-neonred,8s
