clip_id,category,subcategory,prompt,palette,duration
meigen-goldbar-fastorbit-006,trading,product-hero,"A single polished gold bar, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-speed camera orbit circling the bar as the spotlight flares across the polished surface. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-goldingot-snappush-007,trading,product-hero,"A stack of three polished gold ingots, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid snap push-in from wide to extreme close-up, light flaring across the edges. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-trophy-rapiddolly-008,trading,product-hero,"A sleek matte-black trophy with gold accents on a dark pedestal, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast dolly-in with a quick low-angle rise, dramatic light sweep across the trophy. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-glowsphere-whiporbit-009,trading,product-hero,"A glowing translucent sphere, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-pan orbit around the sphere as golden light trails streak across its surface. No text, no logo, no faces, no brand, no country labels.",teal-gold,8s
meigen-hourglass-fastdolly-010,trading,product-hero,"An antique brass hourglass with fine golden sand, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid dolly-in as sand streams catch the light, camera snapping to a low hero angle. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-scale-quickorbit-011,trading,product-hero,"A brass balance scale in perfect equilibrium, luxury product hero shot, dark velvet background, single spotlight top down, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast circling camera orbit, light flaring off the polished brass arms. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-compass-snaprotate-012,trading,product-hero,"An antique brass compass with a glowing needle, luxury product hero shot, polished black marble background, single spotlight top down with a cool blue-violet rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast snap-rotate camera move around the compass as the needle catches light. No text, no logo, no faces, no brand.",blue-violet,8s
meigen-watch-rapidzoom-013,trading,product-hero,"A luxury mechanical wristwatch with an exposed gold movement, luxury product hero shot, brushed steel background, single spotlight top down with a warm amber glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, extreme macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid zoom from wide to extreme macro on the ticking gears, light sweeping across the dial. No text, no logo, no faces, no brand.",amber,8s
meigen-chessking-fastarc-014,trading,product-hero,"A single matte-black chess king piece with gold trim, luxury product hero shot, glossy obsidian slab background, single spotlight top down with a rich emerald rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, wide low-angle detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast arcing camera sweep low to high around the piece, dramatic light flare. No text, no logo, no faces, no brand.",emerald-gold,8s
meigen-key-quickpush-015,trading,product-hero,"An ornate brass skeleton key, luxury product hero shot, dark silk fabric background, single spotlight top down with a warm rose-gold glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Quick push-in with a fast rack focus from the key's teeth to its ornate head. No text, no logo, no faces, no brand.",rose-gold,8s
meigen-diamond-fastspin-016,trading,product-hero,"A single faceted diamond suspended in light, luxury product hero shot, smoked glass background, single spotlight top down with cool platinum-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast spinning orbit as light refracts and flares off each facet. No text, no logo, no faces, no brand.",platinum,8s
meigen-medallion-rapidorbit-017,trading,product-hero,"An engraved gold medallion on a dark stand, luxury product hero shot, polished black marble background, single spotlight top down with a warm gold glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid orbit with a sudden low-angle whip to a hero close-up. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-quill-snapreveal-018,trading,product-hero,"A vintage golden quill pen resting on a dark surface, luxury product hero shot, dark silk fabric background, single spotlight top down with a warm amber glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast snap-reveal camera move sliding along the quill to its glowing tip. No text, no logo, no faces, no brand.",amber,8s
meigen-gear-rapidspiral-019,trading,product-hero,"A precision brass gear mechanism, luxury product hero shot, brushed steel background, single spotlight top down with a cool teal rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast spiraling camera move in toward the turning teeth, light strobing across the metal. No text, no logo, no faces, no brand.",teal,8s
meigen-pyramid-quickrise-020,trading,product-hero,"A small polished obsidian pyramid with gold edging, luxury product hero shot, glossy obsidian slab background, single spotlight top down with a deep blue-violet glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, low-angle wide detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast low-angle rise with a quick orbit, light sweeping up each edge. No text, no logo, no faces, no brand.",blue-violet,8s
meigen-prism-fastrefract-021,trading,product-hero,"A glass prism splitting light into a spectrum, luxury product hero shot, smoked glass background, single spotlight top down with pure platinum-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid camera arc as the spectrum sweeps and flares with the motion. No text, no logo, no faces, no brand.",platinum,8s
meigen-ring-fastcircle-022,trading,product-hero,"A polished gold signet ring on a dark pedestal, luxury product hero shot, dark velvet background, single spotlight top down with a warm rose-gold glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast circling camera move tightening into a macro hero shot of the engraving. No text, no logo, no faces, no brand.",rose-gold,8s
meigen-laurel-rapidsweep-023,trading,product-hero,"A gold laurel wreath resting on a dark pedestal, luxury product hero shot, matte dark concrete background, single spotlight top down with a warm gold glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, wide detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast sweeping camera move rising through the leaves, light flaring at the peak. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-abacus-quickpan-024,trading,product-hero,"A polished wooden abacus with golden beads, luxury product hero shot, dark silk fabric background, single spotlight top down with a warm amber glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast lateral whip-pan across the beads as light catches each one in sequence. No text, no logo, no faces, no brand.",amber,8s
meigen-shield-rapidlowangle-025,trading,product-hero,"A small ornate gold-trimmed shield emblem on a dark stand, luxury product hero shot, glossy obsidian slab background, single spotlight top down with a rich emerald rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, low-angle detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast low-angle rise with a snap zoom into the emblem's center. No text, no logo, no faces, no brand.",emerald-gold,8s
meigen-torch-fastflicker-026,trading,product-hero,"A small gold ceremonial torch with a flickering flame, luxury product hero shot, polished black marble background, single spotlight top down with a warm amber-orange glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast orbit as the flame flickers, light strobing dramatically across the gold. No text, no logo, no faces, no brand.",amber,8s
meigen-arrow-quickstreak-027,trading,product-hero,"A polished gold arrow pointing upward on a dark pedestal, luxury product hero shot, brushed steel background, single spotlight top down with a cool teal rim light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast upward streaking camera move tracking the arrow's tip, light trailing behind. No text, no logo, no faces, no brand.",teal,8s
meigen-waxseal-snapstamp-028,trading,product-hero,"A gold wax seal stamp with an ornate crest, luxury product hero shot, dark velvet background, single spotlight top down with a warm rose-gold glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast snap camera move circling the crest, light flaring off the raised details. No text, no logo, no faces, no brand.",rose-gold,8s
meigen-cufflink-rapidmacro-029,trading,product-hero,"A pair of polished gold cufflinks on a dark surface, luxury product hero shot, smoked glass background, single spotlight top down with cool platinum-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid macro push-in from one cufflink to the other, light sweeping between them. No text, no logo, no faces, no brand.",platinum,8s
meigen-fountainpen-fastglide-030,trading,product-hero,"A luxury gold fountain pen resting diagonally on dark silk, luxury product hero shot, dark silk fabric background, single spotlight top down with a warm gold glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast gliding camera move along the pen's length, light flaring off the nib. No text, no logo, no faces, no brand.",dark-gold,8s
meigen-dice-quicktumble-031,trading,product-hero,"A pair of polished obsidian dice with gold pips, luxury product hero shot, glossy obsidian slab background, single spotlight top down with a deep blue-violet glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast tumbling camera orbit as the dice catch the spotlight at every angle. No text, no logo, no faces, no brand.",blue-violet,8s
meigen-magnifier-rapidreveal-032,trading,product-hero,"An antique brass magnifying glass with a glowing lens, luxury product hero shot, matte dark concrete background, single spotlight top down with a warm amber glow, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast reveal push-through the lens as light refracts and flares. No text, no logo, no faces, no brand.",amber,8s
