clip_id,category,subcategory,prompt,palette,duration
meigen-trader-confidentlean-036,trading,narrative-people,"Cinematic photorealistic scene: a confident trader in a tailored dark suit sits at a sleek glass desk, multiple monitors glowing softly behind him showing abstract market data, city skyline through a window at dusk, warm amber key light with cool blue rim, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast dolly-in as he leans back with a satisfied half-smile. No readable screen text, no logos, no brand, face partially in shadow.",amber-blue,8s
meigen-trader-earlymorning-037,trading,narrative-people,"Cinematic photorealistic scene: a focused trader in a crisp white shirt stands before a curved wall of glowing charts in a dim office at dawn, coffee cup in hand, soft golden sunrise light spilling through blinds, cinematic shadows, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast low-angle push-in as he takes a slow sip, steam catching the light. No readable screen text, no logos, no brand, face partially in shadow.",gold-amber,8s
meigen-handshake-dealclose-038,trading,narrative-people,"Cinematic photorealistic scene: two silhouetted business figures shake hands in a sleek modern boardroom, glass walls reflecting city lights at night, dramatic rim lighting, volumetric haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast orbiting camera move around the handshake as light flares between them. No readable text, no logos, no brand, faces in silhouette.",teal-blue,8s
meigen-investor-toast-039,trading,narrative-people,"Cinematic photorealistic scene: a well-dressed investor raises a glass in quiet celebration on a rooftop terrace at golden hour, city skyline glowing behind, warm rim light, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast rising camera move as the glass catches the light. No readable text, no logos, no brand, face partially in shadow.",gold-amber,8s
meigen-analyst-nightshift-040,trading,narrative-people,"Cinematic photorealistic scene: a determined analyst studies a wall of glowing abstract data charts alone in a dark office late at night, cool blue monitor glow mixed with a single warm desk lamp, cinematic shadows, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast dolly-in as she leans forward, intensely focused. No readable screen text, no logos, no brand, face partially in shadow.",blue-amber,8s
meigen-familyprovide-041,trading,narrative-people,"Cinematic photorealistic scene: a father silhouette stands in a warmly lit living room doorway at dusk, watching his family inside, soft golden window light, gentle atmospheric haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Slow-fast push-in through the doorway toward the warm light. No readable text, no logos, no brand, faces in soft silhouette.",warm-gold,8s
meigen-mentormeeting-042,trading,narrative-people,"Cinematic photorealistic scene: an experienced mentor gestures toward a glowing chart on a table while a younger trader listens intently in a modern office, warm practical lighting mixed with cool monitor glow, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast arcing camera move around the table as the mentor speaks. No readable screen text, no logos, no brand, faces partially in shadow.",amber-teal,8s
meigen-signingcontract-043,trading,narrative-people,"Cinematic photorealistic scene: a hand in a tailored suit sleeve signs a document with a gold fountain pen on a polished dark desk, soft spotlight overhead, thin mist haze, cinematic shadows, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast macro push-in along the pen as ink flows. No readable text, no logos, no brand, no face visible.",dark-gold,8s
meigen-tradingfloor-walkthrough-044,trading,narrative-people,"Cinematic photorealistic scene: a composed executive in a dark suit walks confidently through a modern trading floor lined with glowing screens, cool blue ambient light with warm rim highlights, volumetric haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast tracking camera move alongside as he walks, screens blurring past. No readable screen text, no logos, no brand, face partially in shadow.",blue-gold,8s
meigen-latenightbreakthrough-045,trading,narrative-people,"Cinematic photorealistic scene: a trader alone at a desk suddenly sits up straight, eyes lighting up at a breakthrough insight, glowing charts reflected faintly in his glasses, dim office at night, cinematic shadows, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast snap push-in on the moment of realization. No readable screen text, no logos, no brand, face partially in shadow.",cool-blue,8s
meigen-successwalk-046,trading,narrative-people,"Cinematic photorealistic scene: a silhouetted figure in a tailored coat walks toward floor-to-ceiling windows overlooking a glowing city skyline at dusk, warm amber backlight, thin atmospheric haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast low-angle tracking move following from behind as the figure approaches the light. No readable text, no logos, no brand, face not visible.",amber-gold,8s
meigen-graphreveal-reaction-047,trading,narrative-people,"Cinematic photorealistic scene: a trader's face is lit by the soft glow of an ascending abstract chart reflected on a dark office window, quiet confident expression, cool blue and warm amber mixed lighting, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast slow-motion push-in on the reflected glow across her face. No readable screen text, no logos, no brand, face partially in shadow.",blue-amber,8s
meigen-teamcelebration-048,trading,narrative-people,"Cinematic photorealistic scene: a small team of silhouetted colleagues in a modern office raise their hands in quiet celebration around a glowing central screen, warm golden light bursts, thin haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast orbiting camera move around the celebrating group. No readable screen text, no logos, no brand, faces in silhouette.",gold-warm,8s
meigen-quietreflection-049,trading,narrative-people,"Cinematic photorealistic scene: a trader sits alone by a rain-streaked window at night, city lights blurred behind, contemplative expression, cool blue-violet ambient light, cinematic shadows, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Slow-fast dolly-in as raindrops streak down the glass in the foreground. No readable text, no logos, no brand, face partially in shadow.",blue-violet,8s
meigen-firstinvestment-050,trading,narrative-people,"Cinematic photorealistic scene: a young professional looks at a glowing phone screen with a hopeful, determined expression, warm golden desk lamp light in a cozy home office at night, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast macro push-in on the phone glow reflecting in her eyes. No readable screen text, no logos, no brand, face partially lit.",warm-gold,8s
meigen-boardroompresentation-051,trading,narrative-people,"Cinematic photorealistic scene: a confident presenter gestures toward a large glowing chart projected on a boardroom wall, seated silhouettes of colleagues in the foreground, cool blue projector light with warm rim, volumetric haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast lateral tracking move across the room toward the presenter. No readable screen text, no logos, no brand, faces partially in shadow.",blue-gold,8s
meigen-morningcommute-purpose-052,trading,narrative-people,"Cinematic photorealistic scene: a determined professional in a tailored coat walks briskly through a glass-walled office lobby at sunrise, warm golden light streaming across the floor, thin haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast tracking camera move alongside as reflections streak past on the glass. No readable text, no logos, no brand, face partially in shadow.",gold-warm,8s
meigen-mentorship-handoff-053,trading,narrative-people,"Cinematic photorealistic scene: an older mentor places a hand on a younger trader's shoulder in a warmly lit office at dusk, both facing a glowing chart together, soft golden practical lighting, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Slow-fast push-in on the gesture of encouragement. No readable screen text, no logos, no brand, faces partially in shadow.",warm-gold,8s
meigen-quietconfidence-054,trading,narrative-people,"Cinematic photorealistic scene: a composed trader adjusts her cufflink while standing before a window overlooking a glowing city at dusk, calm confident posture, warm amber and cool blue mixed light, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast rising camera move from hands to skyline view. No readable text, no logos, no brand, face partially in shadow.",amber-blue,8s
meigen-newbeginning-office-055,trading,narrative-people,"Cinematic photorealistic scene: a professional steps out of an elevator into a bright modern office lobby, confident stride, warm daylight streaming through glass walls, soft atmospheric haze, shallow depth of field, 35mm film grain, 9:16 vertical, 8k. Fast tracking camera move following the stride into the light. No readable text, no logos, no brand, face partially in shadow.",warm-white,8s
