clip_id,category,subcategory,prompt,palette,duration
meigen-silverbar-fastorbit-056,trading,product-hero,"A single polished silver bar, luxury product hero shot, dark velvet background, single spotlight top down with cool platinum-white light, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-speed camera orbit circling the bar as the spotlight flares across the polished surface. No text, no logo, no faces, no brand.",platinum-silver,8s
meigen-silvercoin-edgespin-057,trading,product-hero,"A single glossy silver coin standing on its edge, luxury product hero shot, polished black marble background, single spotlight top down with cool blue-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast spin as the coin catches the light. No text, no logo, no faces, no brand.",silver-blue,8s
meigen-platinumingot-snappush-058,trading,product-hero,"A stack of polished platinum ingots, luxury product hero shot, brushed steel background, single spotlight top down with cool platinum light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid snap push-in from wide to extreme close-up, light flaring across the edges. No text, no logo, no faces, no brand.",platinum,8s
meigen-yensymbol-engraved-059,trading,product-hero,"A single engraved metal yen currency symbol art piece, polished gold finish, luxury product hero shot, dark velvet background, single spotlight top down with warm gold light, thin mist haze, dramatic rim light outline, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast circling camera orbit as light traces the engraved symbol. Stylized art object, not a real banknote. No text, no logo, no faces, no brand, no flags.",dark-gold,8s
meigen-eurosymbol-engraved-060,trading,product-hero,"A single engraved metal euro currency symbol art piece, polished silver finish, luxury product hero shot, obsidian slab background, single spotlight top down with cool teal light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast dolly-in with a low-angle rise, light sweeping across the engraved surface. Stylized art object, not a real banknote. No text, no logo, no faces, no brand, no flags.",teal-silver,8s
meigen-poundsymbol-engraved-061,trading,product-hero,"A single engraved metal pound sterling currency symbol art piece, polished gold finish, luxury product hero shot, dark silk fabric background, single spotlight top down with warm rose-gold light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast whip-pan orbit around the symbol as light streaks across its surface. Stylized art object, not a real banknote. No text, no logo, no faces, no brand, no flags.",rose-gold,8s
meigen-dollarsymbol-engraved-062,trading,product-hero,"A single engraved metal dollar currency symbol art piece, polished platinum finish, luxury product hero shot, smoked glass background, single spotlight top down with cool platinum-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid dolly-in as the camera snaps to a low hero angle. Stylized art object, not a real banknote. No text, no logo, no faces, no brand, no flags.",platinum,8s
meigen-silvercoinstack-rapidmacro-063,trading,product-hero,"A neat stack of glossy silver coins, luxury product hero shot, matte dark concrete background, single spotlight top down with cool blue-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Rapid macro push-in from base to top of the stack, light sweeping between the coins. No text, no logo, no faces, no brand.",silver-blue,8s
meigen-exchangearrows-abstract-064,trading,product-hero,"An abstract sculpture of two glowing metallic arrows exchanging in a continuous loop, luxury product hero shot, dark velvet background, single spotlight top down with warm gold and cool teal dual light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast orbiting camera move as the arrows catch alternating light. Abstract concept sculpture, no real symbols, no country labels. No text, no logo, no faces, no brand.",gold-teal,8s
meigen-goldsilverbalance-scale-065,trading,product-hero,"A brass balance scale holding a gold bar on one side and a silver bar on the other in perfect equilibrium, luxury product hero shot, polished black marble background, single spotlight top down with mixed warm and cool light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast circling camera orbit around the balanced scale. No text, no logo, no faces, no brand.",gold-silver,8s
meigen-swisssymbol-engraved-066,trading,product-hero,"A single engraved metal cross-shaped currency emblem art piece, polished silver finish, luxury product hero shot, brushed steel background, single spotlight top down with cool platinum light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast snap-rotate camera move around the emblem. Stylized abstract art object, not a real flag or banknote. No text, no logo, no faces, no brand.",platinum-silver,8s
meigen-platinumcoin-fastspin-067,trading,product-hero,"A single glossy platinum coin standing on its edge, luxury product hero shot, smoked glass background, single spotlight top down with cool platinum-white light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast spinning orbit as light refracts off the polished surface. No text, no logo, no faces, no brand.",platinum,8s
meigen-goldsilverbars-diagonal-068,trading,product-hero,"A diagonal arrangement of gold and silver bars ascending like a staircase, luxury product hero shot, dark silk fabric background, single spotlight top down with warm and cool dual light, thin mist haze, cinematic shadows, premium editorial styling, ultra realistic, macro detail, 85mm lens look, f/4 shallow depth, 8k, 9:16 vertical. Fast ascending camera move tracing the staircase, light flaring at each step. No text, no logo, no faces, no brand.",gold-silver,8s
