clip_id,category,subcategory,visual,audio_sfx,palette,duration
blackliquidity-scam2-blockedicon-316,black_liquidity,scam-broll,"Extreme close-up of a red blocked-transaction icon flashing rhythmically on a dark phone screen, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow creeping push-in as it flashes. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. A soft electronic error blip synced to each flash, a faint high-pitched warning chime, the low hum of the phone screen's backlight, quiet ambient room tone, a muffled distant clock tick.",dark-neonred,8s
blackliquidity-scam2-foreclosure-317,black_liquidity,scam-broll,"Close-up of a dark envelope with a red wax seal sliding slowly under a door in a dim hallway, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow push-in as the envelope stops. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The soft papery scrape of the envelope's edge dragging across the floor, muffled ambient building hum, distant faint footsteps receding down the hallway, a quiet creak of settling floorboards.",dark-neonred,8s
blackliquidity-scam2-movingboxes-318,black_liquidity,scam-broll,"Wide shot of moving boxes stacked outside a house at night, a single porch light glowing warm against the dark, cinematic depth, realistic 4K, dark moody high contrast. Slow lateral tracking shot past the stacked boxes. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Distant crickets chirping in the night air, a faint creak of stacked cardboard settling under its own weight, a soft gust of wind rustling nearby leaves, the low electrical buzz of the porch light.",dark-warm,8s
blackliquidity-scam2-forsalesign-319,black_liquidity,scam-broll,"Close-up silhouette of a signpost against a deep red dusk sky, shape only, no readable text, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow push-in on the silhouette. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Low wind gusting past the signpost, a faint metallic creak of the sign swaying slightly on its hinge, distant birds calling as dusk settles, a faint rustle of dry grass at the base of the post.",red-dusk,8s
blackliquidity-scam2-emptyliving-320,black_liquidity,scam-broll,"Wide shot of an empty living room, moonlight streaming through bare windows across the floor, a single chair left behind in the center, dramatic shadows, realistic 4K, dark moody cinematic, high contrast. Slow static hold with a subtle push-in. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Quiet ambient room tone with a hollow echo characteristic of an empty space, a faint creak of old wood flooring settling, distant muffled wind against the windows, soft rustle of a bare curtain stirring.",blue-moonlight,8s
blackliquidity-scam3-emptyauditorium-321,black_liquidity,scam-broll,"Wide shot of rows of empty auditorium seats facing a glowing dark stage, a single red spotlight beam cutting through haze, dramatic depth, realistic 4K, dark moody cinematic, high contrast. Slow low dolly forward down the center aisle. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low electrical hum of the spotlight fixture, a faint creak of one empty seat settling, a distant echo reverberating through the empty hall, the soft hiss of haze lingering in the air.",dark-neonred,8s
blackliquidity-scam3-notificationcascade-322,black_liquidity,scam-broll,"Close-up of a phone screen filling rapidly with cascading abstract notification bubbles, dark background, neon red accent glow, realistic 4K, dark moody cinematic, high contrast. Fast push-in as notifications multiply. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Rapid soft electronic notification chimes overlapping and accelerating, a faint buzz of the phone vibrating against a hard surface, a subtle high-frequency whine of the screen refreshing rapidly.",dark-neonred,8s
blackliquidity-scam3-qrcodeglow-323,black_liquidity,scam-broll,"Extreme close-up of an abstract blurred geometric code pattern glowing red on a dark poster board, out of focus and unreadable, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow push-in as it glows. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low electrical hum of the glowing board's backlight, a faint crackle of static electricity, quiet ambient room tone, a subtle flicker-buzz synced to the glow's pulse.",dark-neonred,8s
blackliquidity-scam3-joinbutton-324,black_liquidity,scam-broll,"Macro shot of a fingertip tapping a glowing red abstract button on a phone screen, a pulse ripple effect spreading outward, thin haze, realistic 4K, dark moody cinematic, high contrast. Fast push-in on the tap. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. A soft synthetic tap as the fingertip makes contact, a rising electronic pulse tone rippling outward matching the visual ripple, quiet ambient room tone, subtle skin-on-glass friction.",dark-neonred,8s
blackliquidity-scam3-groupchatscroll-325,black_liquidity,scam-broll,"Wide close-up of an abstract group chat interface scrolling rapidly with glowing message bubbles, dark UI, neon red accents, realistic 4K, dark moody cinematic, high contrast. Fast push-in as messages scroll faster. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Rapid overlapping soft message-pop sounds accelerating in tempo, a faint electronic whoosh of the scroll motion, subtle notification chimes layered underneath, quiet ambient room tone.",dark-neonred,8s
blackliquidity-scam3-walletempty-326,black_liquidity,scam-broll,"Close-up of an open wallet with coins and cash sliding out and falling into darkness below, neon red rim lighting, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow push-in as the wallet empties. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The soft leather creak of the wallet opening, metallic jingle of coins sliding and falling, a papery rustle of cash slipping free, a faint distant echo as coins fall away into darkness.",dark-neonred,8s
blackliquidity-scam3-magnifyingglass-327,black_liquidity,scam-broll,"Extreme close-up of a magnifying glass hovering over a dark fine-print document, a red highlight sweeping slowly across unreadable abstract lines, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow push-in as the highlight moves. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. A faint glass-on-air movement tone as the magnifying glass shifts, a soft paper rustle beneath it, a subtle electronic hum synced to the red highlight's sweep, quiet ambient room tone.",dark-neonred,8s
blackliquidity-scam3-emptystage-328,black_liquidity,scam-broll,"Wide shot of an empty stage after an event, folding chairs stacked haphazardly, a single work light glowing red in the center, dramatic shadows, realistic 4K, dark moody cinematic, high contrast. Slow lateral tracking shot across the stage. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low electrical hum of the work light, a faint metallic creak of the stacked folding chairs settling, a distant echo characteristic of a large empty room, quiet ambient building tone.",dark-neonred,8s
blackliquidity-scam3-callfailed-329,black_liquidity,scam-broll,"Extreme close-up of a disconnected call icon pulsing red on a dark phone screen, thin haze, shallow depth of field, realistic 4K, dark moody cinematic, high contrast. Slow creeping push-in as it pulses. No readable text, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. A repeating flat electronic disconnect tone synced to the pulse, a faint phone-speaker crackle, a subtle buzz of the phone's vibration motor, quiet ambient room tone underneath.",dark-neonred,8s
