O1	[0.9] Chief, there are no fish. None left. We're starving. Please do something.
O2	[0.0] He's right. Not one fish, all week. | [2.9] So, the day has come. | [6.6] We need the child with the gift.
O3	[3.9] It's time you are the chosen one you two will go with the child
O4	[0.0] We had the ducks!
M4	[0.0] I can smell it.
N1	
N2	[0.7] This out
N3	[7.1] Wow
M6	[0.0] Ha, ha, ha, ha, ha.
N4	
N12	[0.9] Time so dark okay, so this is it the line of death
N5	
N6	[0.0] So Lausund, we need your light now.
N7	[0.0] Wait! Hold on!
N8	[2.0] This sells the air! | [5.0] Whoa!
N9	[0.0] This is why they came. | [4.7] Yeah!
N10	
N11	
M13	[0.0] Thanks for watching!
