shot	t_start	t_end	heard	speaker	scripted	match
1	0.0	3.4	ผมจักการให้ครับ พรุ่งนี้เช้าเรียบร้อยแน่นอนครับ	somchai	ผมจัดการให้ครับ พรุ่งนี้เช้าเรียบร้อยแน่นอนครับ	0.98
1	3.6	5.64	พรุ่งนี้ผมเอาไปส่งให้เองนะครับ	somchai	พรุ่งนี้ผมเอาไปส่งให้เองนะครับ ไม่ต้องลำบากมาถึงร้าน	0.74
1	5.84	7.56	ไม่ต้องลำบากมาถึงร้าน			0.0
2	0.75	2.75	พรุ่งนี้ผมสัญญา	somchai	พรุ่งนี้... ผมสัญญา	1.0
2	2.75	4.75	ขอแค่อย่าให้ลูกรู้	somchai	ขอแค่อย่าให้ลูกรู้	1.0
3	0.02	4.02	บ่าวๆ อย่าให้แม่ตื่น ยังไม่ทันสว่าง	somchai	เบาๆ... อย่าให้แม่ตื่น	0.67
3			(ไม่ได้ยิน)	somchai	ยังไม่ทันสว่างเลย	0.0
4	0.78	5.4	- แม่ตื่นแล้วเหรอ? นี่ยาเม็ดข้าว ก่อนนอนเม็ดเหลืองตอนเช้า	somchai	แม่ ตื่นแล้วเหรอ นี่ยาเม็ดขาวก่อนนอน เม็ดเหลืองตอนเช้า	0.98
4	5.4	6.9	- ลูก	ya	...ลูก...	0.86
4	6.9	8.9	- ครับผมเอง	somchai	ครับ ผมเอง	0.95
5	0.0	2.4	เดี๋ยวพรุ่งนี้พาไปหาหมอนะแม่	somchai	เดี๋ยวพรุ่งนี้พาไปหาหมอนะแม่	1.0
5	2.8	4.7	ไม่ต้อง เปลือง	ya	...ไม่ต้อง... เปลือง...	1.0
5	4.8	8.0	ไม่เปลืองหรอกแม่ เรื่องของแม่ไม่เปลือง	somchai	ไม่เปลืองหรอกแม่ เรื่องของแม่ไม่เปลือง	1.0
6	0.69	6.49	45-16-17-15 อีก 300 ก็คบค่ายาเดือนนี้แล้ว	somchai	สี่สิบ ห้าสิบ หกสิบ เจ็ดสิบห้าบาท	0.32
6			(ไม่ได้ยิน)	somchai	อีกสามร้อยก็ครบค่ารักษาแม่เดือนนี้แล้ว	0.0
7	1.01	3.01	เดือนนี้ไม่พออีกแล้ว	somchai	เดือนนี้ไม่พออีกแล้ว	1.0
7	4.01	6.01	ต้องหาทางอื่น	somchai	ต้องหาทางอื่น	1.0
8	1.62	3.62	เปิดแล้วครับ เชิญเลยครับ	somchai	เปิดแล้วครับ เชิญเลยครับ	1.0
8	3.62	5.62	วันนี้มาเช้ากันจังนะครับ	somchai	วันนี้มาเช้ากันจังนะครับ	1.0
9	1.1	4.1	เมื่อคืนผมส่งไปสมักไปอีกสองแห่งแล้วนะพ่อ	ton	เมื่อคืนผมส่งใบสมัครไปอีกสองแห่งแล้วนะพ่อ	0.91
9	4.1	6.1	ที่ไหนบ้างละ	somchai	ที่ไหนบ้างล่ะ	0.96
9	6.1	9.1	ลงงานเท้าบางหน้า กับบริสัตว์คนส่ง	ton	โรงงานแถวบางนา กับบริษัทขนส่ง	0.67
10	1.49	4.49	ดีแล้ว ค้อย ๆ หาไป อย่าไปเล่ง	somchai	ดีแล้ว ค่อยๆหาไป อย่าไปเร่ง	0.92
10	4.49	7.49	ผมเรียนจบมาปีหนึ่งแล้วนะ พ่อ	ton	ผมเรียนจบมาปีนึงแล้วนะพ่อ	0.96
11	0.75	5.31	พ่อขายกวิตเตียวมา 30 ปี ไม่เห็นต้องรีบไปไหน	somchai	พ่อขายก๋วยเตี๋ยวมาสามสิบปี ไม่เห็นต้องรีบไปไหน	0.86
11	5.91	7.31	กินข้าวยังลูก	somchai	กินข้าวยังลูก	1.0
12	0.0	1.32	เส้นเล็ก หรือเส้นใหญ่ครับ	ton	เส้นเล็กหรือเส้นใหญ่ครับ	1.0
12	3.23	4.91	ได้ครับ สองชาม เดี๋ยวมาครับ	ton	ได้ครับ สองชาม เดี๋ยวมาครับ	1.0
13	0.05	3.75	ต้น เก็บต้อง 2 ที่ 1 แล้วเติมน้ำซุปด้วยนะ	somchai	ต้น เก็บโต๊ะสองทีนึง แล้วเติมน้ำซุปด้วยนะ	0.89
13	3.75	7.05	พ่อ สังงานเก่งกว่าใครในซอยเลยนะเนี่ย	ton	พ่อสั่งงานเก่งกว่าใครในซอยเลยนะเนี่ย	0.99
14	0.75	3.25	ขอบคุณครับ แหวะมาเลยเลยนะครับ	somchai	ขอบคุณครับ แวะมาเรื่อยๆนะครับ	0.82
14	3.25	5.25	พรุ่งนี้มีต้มยำด้วยนะ	somchai	พรุ่งนี้มีต้มยำด้วยนะ	1.0
15	0.66	4.16	ขอบคุณที่ให้ความสนใจ แต่ตำแน่งนี้เต็มแล้ว	ton	ขอบคุณที่ให้ความสนใจ แต่ตำแหน่งนี้เต็มแล้ว	0.99
15	4.16	6.16	อีกแล้ว	ton	...อีกแล้ว	1.0
16	1.04	3.04	ที่นี่ก็ไม่รับ 3 ที่แล้วเดือนนี้	ton	ที่นี่ก็ไม่รับ สามที่แล้วเดือนนี้	1.0
16	4.04	6.04	เรียนมา 4 ปีทำไมมันยากขนาดนี้	ton	เรียนมาสี่ปี ทำไมมันยากขนาดนี้	1.0
17	1.26	5.26	มาแล้วครับ คิดเงินโตสามใช่ไหมครับ	ton	มาแล้วครับ คิดเงินโต๊ะสามใช่ไหมครับ	0.97
18	1.52	3.52	ต้น มีอะไรหรือเปล่าลูก	somchai	ต้น... มีอะไรหรือเปล่าลูก	1.0
18	3.52	5.52	ไม่มีอะไรพ่อ ร้อนอ่ะ	ton	ไม่มีอะไรพ่อ ร้อนน่ะ	0.95
18			(ไม่ได้ยิน)	somchai	อือ	0.0
19	0.34	3.34	ย่าครับ ตนเองครับ ขึ้นมาแล้วนะครับ	ton	ย่าครับ ต้นเองครับ ขึ้นมาแล้วนะครับ	0.98
20	0.0	2.0	วันนี้ยาดูสดสายนะครับ	ton	วันนี้ย่าดูสดใสนะครับ กินข้าวต้มก่อนนะครับ	0.61
20	2.0	4.0	กินเข้าต้มก่อนนะครับ	ya	...ต้น...	0.26
20	4.0	5.0	ต้น	ton	ครับย่า อ้าปากหน่อยครับ	0.16
20	5.0	6.0	ครับยา			0.0
20	6.0	8.0	อ้าปากหน่อยครับ			0.0
21	0.18	2.18	ข้างล่างเสียงดังไปไหมครับ ย่า	ton	ข้างล่างเสียงดังไปไหมครับย่า	1.0
21	3.18	4.18	ได้ยินหมด	ya	...ได้ยิน... หมด...	1.0
21	5.18	7.18	งั้นย่าก็รู้หมดเลยสิครับ	ton	งั้นย่าก็รู้หมดเลยสิครับ	1.0
22	0.0	2.0	ต้น ย่า	ya	...ต้น... ย่า...	1.0
22	2.84	4.84	ย่าจะบอกอะไรผมเหรอครับ	ton	ย่าจะบอกอะไรผมเหรอครับ	1.0
22	5.16	7.16	ไม่ ไม่มีอะไร	ya	...ไม่... ไม่มีอะไร...	1.0
23	1.2	3.2	เดี๋ยวผมขึ้นมาใหม่นะครับ ย่า	ton	เดี๋ยวผมขึ้นมาใหม่นะครับย่า พักก่อนนะครับ	0.81
23	3.2	5.2	พักก่อนนะครับ			0.0
